TimeLine,ChannelCode,RiskRating,Applications,Approvals,AvgApprovalAmount,Listings,AvgListingsAmount,Loans,AvgLoanAmount
1/3/2014,Digital,E,2,2,9995.002999,2,9995.002999,1,9990.010989
1/3/2014,Digital,HR,1,1,34965.03596,1,3996.004995,1,3996.004995
1/3/2014,Digital,N/A,99,29,15496.14189,0,NULL,0,NULL
1/3/2014,Direct Mail,A,55,55,22477.77315,34,12831.97556,23,13121.16869
1/3/2014,Direct Mail,AA,13,13,25613.41443,11,14362.33079,8,14248.2191
1/3/2014,Direct Mail,B,44,44,22510.85205,28,14881.61141,20,15149.24259
1/3/2014,Direct Mail,C,56,56,19928.21559,37,14121.23999,17,13587.43609
1/3/2014,Direct Mail,D,11,11,15089.53741,8,6311.711161,5,7998.40052
1/3/2014,Direct Mail,E,10,10,16498.35026,7,8855.877875,5,7398.520496
1/3/2014,Direct Mail,N/A,648,292,21182.21513,0,NULL,0,NULL
1/3/2014,DirectToSite,A,28,28,21738.50937,13,13514.34513,9,13631.8188
1/3/2014,DirectToSite,AA,6,6,15873.51791,4,5812.792052,0,NULL
1/3/2014,DirectToSite,B,23,23,19390.46133,12,11849.01267,7,13855.16369
1/3/2014,DirectToSite,C,34,34,14158.40714,24,11257.8643,18,8677.295761
1/3/2014,DirectToSite,D,11,11,13226.07045,7,9427.224825,6,6998.833694
1/3/2014,DirectToSite,E,6,6,15997.33394,2,8495.752624,2,8495.752624
1/3/2014,DirectToSite,HR,1,1,3996.004995,1,3996.004995,0,NULL
1/3/2014,DirectToSite,N/A,562,91,19546.52708,0,NULL,0,NULL
1/3/2014,Email,A,1,1,14985.01598,0,NULL,0,NULL
1/3/2014,Email,C,2,2,12493.75362,2,12493.75362,2,12493.75362
1/3/2014,Email,N/A,7,3,21326.22493,0,NULL,0,NULL
1/3/2014,Partner,A,31,31,16104.77085,14,10953.78909,11,10759.3856
1/3/2014,Partner,AA,17,17,16012.88165,13,12017.1526,7,14131.55278
1/3/2014,Partner,B,27,27,20186.2524,21,16337.07923,14,15705.66395
1/3/2014,Partner,C,30,30,16022.19929,12,9825.431297,8,9675.665667
1/3/2014,Partner,D,10,10,12398.76022,7,7356.09213,4,4123.969258
1/3/2014,Partner,E,8,8,10248.71904,4,7248.188203,3,6331.223259
1/3/2014,Partner,N/A,1041,264,15160.77227,0,NULL,0,NULL
1/4/2014,Digital,A,6,6,13997.66722,2,12493.75362,2,11744.12844
1/4/2014,Digital,AA,1,1,8991.00999,0,NULL,0,NULL
1/4/2014,Digital,B,2,2,8995.502749,2,8245.877561,2,8245.877561
1/4/2014,Digital,C,3,3,12995.66844,2,9995.002999,2,9995.002999
1/4/2014,Digital,D,3,3,14995.002,2,12493.75362,1,9990.010989
1/4/2014,Digital,E,4,4,13971.50737,1,3996.004995,1,3996.004995
1/4/2014,Digital,N/A,82,25,15999.36007,0,NULL,0,NULL
1/4/2014,Direct Mail,A,33,33,20802.39996,19,12630.91422,17,13381.56585
1/4/2014,Direct Mail,AA,12,12,23221.98158,10,15048.49525,8,14748.15661
1/4/2014,Direct Mail,B,47,47,23648.43303,27,15480.90815,24,15228.53219
1/4/2014,Direct Mail,C,30,30,18916.03617,18,14211.43275,12,12457.29531
1/4/2014,Direct Mail,D,6,6,14414.26446,5,8798.240552,3,9996.668111
1/4/2014,Direct Mail,E,6,6,15664.05616,3,7164.278907,3,7164.278907
1/4/2014,Direct Mail,N/A,385,173,21947.85002,0,NULL,0,NULL
1/4/2014,DirectToSite,A,17,17,11175.81325,15,8946.070329,9,10576.60271
1/4/2014,DirectToSite,AA,6,6,14914.18114,3,6331.223259,1,14985.01598
1/4/2014,DirectToSite,B,15,15,23065.12906,11,16725.7523,6,13664.38944
